DelayNafromNadueNadate,NumNaofNaDelayedNaPayment,ChangedNaCreditNaLimit,NumNaCreditNaInquiries,CreditNaMix,OutstandingNaDebt,CreditNaUtilizationNaRatio,CreditNaHistoryNaAge,PaymentNaofNaMinNaAmount,TotalNaEMINaperNamonth,AmountNainvestedNamonthly,MonthlyNaBalance,CreditNaScore
12,7,6.43,3.0,Good,1095.73,4.151.328.788.148.240,NA,No,81050.0,7.879.818.322.985.320,8.797.520.667.701.460,Good
30,15,27.99,11.0,Bad,3422.49,30.836.960.208.112.800,NA,Yes,31.490.178.526.768.100,1.923.040.599.769.490,21.974.240.475.536.900,Poor
55,24,6.82,11.0,Bad,2797.17,3.313.167.712.163.900,14 Years and 0 Months,Yes,5.886.844.083.860.840,NaNa10000NaNa,25.201.660.303.526.400,Poor
56,24,8.82,11.0,Na,2797.17,3.307.759.975.839.410,14 Years and 1 Months,Yes,5.886.844.083.860.840,1.240.568.381.028.940,2.128.183.043.918.300,Poor
59,24,8.82,11.0,Bad,2797.17,2.764.251.073.394.810,14 Years and 3 Months,Yes,5.886.844.083.860.840,10.575.675.459.442.200,2.211.183.879.003.020,Poor
55,24,8.82,11.0,Bad,2797.17,30.732.960.214.272.800,14 Years and 4 Months,Yes,5.886.844.083.860.840,5.385.988.289.381.300,2.830.152.596.009.110,Poor
59,24,8.82,11.0,Bad,2797.17,324.729.892.967.946,14 Years and 5 Months,Yes,5.886.844.083.860.840,4.562.644.681.511.020,2.812.486.956.796.140,Poor
2,0,10.98,0.0,Good,680.77,3.512.551.975.918.450,20 Years and 8 Months,No,12.168.201.673.654.200,NaNa10000NaNa,33.329.198.185.875.200,Good
3,0,Na,0.0,Good,680.77,31.308.508.751.147.200,20 Years and 10 Months,No,12.168.201.673.654.200,9.098.095.528.937.550,7.763.343.613.074.150,Good
2,5,10.98,0.0,Good,680.77,3.396.003.440.020.580,21 Years and 0 Months,No,12.168.201.673.654.200,7.993.743.610.756.780,11.794.095.552.111.100,Good
6,4,9.98,0.0,Good,680.77,2.892.882.974.582.680,21 Years and 1 Months,No,10292.0,17.309.436.921.741.700,6.942.209.473.793.720,Good
2,5,10.98,0.0,Good,680.77,30.483.817.218.934.400,21 Years and 2 Months,No,12.168.201.673.654.200,16.911.088.560.882.300,6.982.044.309.879.660,Good
2,8,10.98,0.0,Good,680.77,35.622.883.365.649.600,21 Years and 3 Months,Yes,19734.0,30.420.281.042.249.300,573.112.506.174.297,Good
28,0,13.94,2.0,Standard,1079.73,28.068.382.392.311.800,31 Years and 10 Months,No,955.216.287.821.567,6.234.087.218.945.350,38.900.714.932.330.800,Good
23,0,11.94,2.0,Standard,1079.73,24.978.573.155.178.600,32 Years and 0 Months,No,955.216.287.821.567,7.610.455.290.669.840,25.137.034.215.085.800,Good
23,10,11.94,2.0,Standard,1079.73,28.321.914.174.502.800,32 Years and 1 Months,Yes,955.216.287.821.567,7.776.020.727.296.630,23.481.379.848.817.900,Good
23,0,11.94,2.0,Standard,1079.73,41.341.414.000.106.500,32 Years and 2 Months,Yes,955.216.287.821.567,5.521.106.827.759.280,4.503.051.884.419.150,Good
27,11,19.87,11.0,Standard,2253.95,28.875.737.694.025.200,16 Years and 10 Months,Yes,15.600.331.166.279.100,6.693.199.534.699.990,4.262.564.429.902.080,Poor
27,11,19.87,11.0,Standard,2253.95,23.115.022.183.170.700,16 Years and 11 Months,Yes,15.600.331.166.279.100,13.228.573.127.303.200,39.090.270.706.417.500,Poor
27,11,19.87,11.0,Standard,2253.95,3.857.921.380.799.330,17 Years and 0 Months,Yes,15.600.331.166.279.100,8.027.846.002.596.150,42.290.997.831.124.600,Poor
27,11,19.87,11.0,Standard,2253.95,2.284.117.831.011.110,17 Years and 1 Months,Yes,15.600.331.166.279.100,3.731.685.163.748.750,16.001.992.196.233.200,Poor
27,11,19.87,11.0,Na,2253.95,33.912.703.074.966.700,17 Years and 2 Months,Yes,15.600.331.166.279.100,19.292.077.129.685.800,3.502.676.670.403.490,Poor
27,14,24.87,11.0,Standard,2253.95,37.330.340.266.940.100,17 Years and 3 Months,Yes,15.600.331.166.279.100,,43.630.891.916.244.400,Poor
27,10,16.87,12.0,Na,2253.95,3.317.055.464.565.220,17 Years and 4 Months,Yes,15.600.331.166.279.100,59.495.416.124.857.400,4.436.930.222.123.500,Poor
27,11,19.87,12.0,Standard,2253.95,3.152.078.179.699.130,17 Years and 5 Months,Yes,15.600.331.166.279.100,11.636.129.396.965.600,3.868.271.443.675.510,Poor
57,21,17.25,10.0,Bad,3119.6,3.018.805.936.357.030,12 Years and 5 Months,Yes,13.347.084.524.343.200,1.989.967.507.987.870,2.700.259.039.577.800,Poor
59,3104,11.25,,Na,3119.6,2.611.222.201.204.990,12 Years and 6 Months,Yes,13.347.084.524.343.200,1.532.707.254.403.220,2.957.519.293.162.440,Poor
57,19,17.25,14.0,Na,3119.6,3.823.896.597.620.360,12 Years and 7 Months,Yes,13.347.084.524.343.200,31.949.237.384.558.000,15.953.028.091.098.700,Poor
52,0,17.25,14.0,Bad,3119.6,3.708.960.444.163.580,12 Years and 8 Months,Yes,13.347.084.524.343.200,,17.693.147.792.084.700,Poor
54,19,17.25,14.0,Bad,3119.6,36.970.607.622.016.700,12 Years and 9 Months,Yes,13.347.084.524.343.200,9.609.548.178.258.150,3.429.271.729.739.850,Poor
57,18,17.25,14.0,Na,3119.6,31.248.462.494.345.000,12 Years and 10 Months,Yes,13.347.084.524.343.200,12.395.986.963.278.500,3.150.627.851.237.820,Poor
57,19,17.25,14.0,Bad,3119.6,2.414.813.227.289.230,12 Years and 11 Months,Yes,13.347.084.524.343.200,11.166.780.745.430.700,3.373.548.473.022.590,Poor
62,17,5.51,6.0,Bad,4071.62,3.613.729.240.094.060,12 Years and 7 Months,Yes,8.171.265.500.803.950,12.444.592.027.470.100,1.850.894.247.172.580,Poor
62,18,5.51,6.0,Na,4071.62,2.813.414.922.331.560,12 Years and 8 Months,Yes,8.171.265.500.803.950,31.286.542.757.446.000,2.682.488.022.345.140,Poor
65,0,5.51,6.0,Na,4071.62,3.916.106.265.120.840,12 Years and 9 Months,Yes,8.171.265.500.803.950,11.236.144.980.518.100,19.717.389.518.677.900,Poor
62,21,5.51,6.0,Na,4071.62,3.311.102.174.772.380,12 Years and 10 Months,Yes,8.171.265.500.803.950,2.467.934.850.830.750,2.448.559.964.836.520,Poor
62,21,12.51,6.0,Bad,4071.62,2.642.915.211.024.230,NA,Yes,8.171.265.500.803.950,,17.910.953.553.854.600,Poor
62,18,5.51,6.0,Na,4071.62,29.815.213.465.952.300,13 Years and 0 Months,Yes,8.171.265.500.803.950,47.310.783.361.453.100,2.522.245.616.305.070,Poor
64,0,-14.900.000.000.000.000,6.0,Bad,4071.62,3.709.478.338.625.010,13 Years and 1 Months,Yes,7.097.506.654.794.730,10.530.296.781.645.700,20.423.237.717.550.200,Poor
62,18,5.51,6.0,Bad,4071.62,3.566.937.313.879.140,13 Years and 2 Months,Yes,7.097.506.654.794.730,3.337.622.925.667.580,2.361.591.157.352.840,Poor
15,8,11.92,3.0,Good,1154.46,43.368.064.752.029.100,27 Years and 3 Months,No,0.0,,9.403.944.827.695.150,Good
15,8,11.92,3.0,Good,1154.46,3.113.019.514.441.850,27 Years and 4 Months,No,0.0,NaNa10000NaNa,11.578.575.217.994.000,Good
14,19,5.79,5.0,Standard,125.25,3.508.033.049.259.630,24 Years and 11 Months,No,958.007.129.241.996,7.393.253.933.987.150,3.835.191.644.025.950,Good
